2023-03-28 09:07:16.258 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-28 09:07:16.286 [main] INFO  com.atcwl.gulicollege.ServiceOrderMain - Starting ServiceOrderMain using Java 15 on LAPTOP-N3UOGK91 with PID 27624 (F:\studying\another\IdeaProjects\JavaEngineering\gulicollege\service\service-order\target\classes started by 陈伟龙 in F:\studying\another\IdeaProjects\JavaEngineering\gulicollege)
2023-03-28 09:07:16.286 [main] INFO  com.atcwl.gulicollege.ServiceOrderMain - The following 1 profile is active: "dev"
2023-03-28 09:07:17.292 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-03-28 09:07:17.294 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-03-28 09:07:17.315 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2023-03-28 09:07:17.490 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=2f9408bc-99c2-3304-9cee-41d6eb2427bc
2023-03-28 09:07:17.815 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8007 (http)
2023-03-28 09:07:17.823 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8007"]
2023-03-28 09:07:17.823 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-28 09:07:17.823 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-28 09:07:17.949 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-28 09:07:17.949 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1625 ms
2023-03-28 09:07:18.781 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'service-edu' URL not provided. Will try picking an instance via load-balancing.
2023-03-28 09:07:18.850 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'service-ucenter' URL not provided. Will try picking an instance via load-balancing.
2023-03-28 09:07:19.563 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2023-03-28 09:07:19.582 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-03-28 09:07:19.586 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-03-28 09:07:20.791 [main] INFO  org.reflections.Reflections - Reflections took 24 ms to scan 1 urls, producing 3 keys and 6 values 
2023-03-28 09:07:20.811 [main] INFO  org.reflections.Reflections - Reflections took 11 ms to scan 1 urls, producing 4 keys and 9 values 
